TEAM_ID,ABBREVIATION,date,rating
1610612748,MIA,2015-10-31,1499.7205315838
1610612749,MIL,2015-10-31,1480.5750112778453
1610612750,MIN,2015-10-31,1520.0
1610612751,BKN,2015-10-31,1480.2794617562658
1610612752,NYK,2015-10-31,1499.4249887221547
1610612753,ORL,2015-10-31,1480.5750112778453
1610612754,IND,2015-10-31,1479.9917180729458
1610612755,PHI,2015-10-31,1480.0082819270542
1610612756,PHX,2015-10-31,1500.56675634087
1610612757,POR,2015-10-31,1499.14549997581
1610612758,SAC,2015-10-31,1500.0
1610612759,SAS,2015-10-31,1500.0082819270542
1610612760,OKC,2015-10-31,1519.4249887221547
1610612761,TOR,2015-10-31,1520.0
1610612762,UTA,2015-10-31,1500.2794617562658
1610612763,MEM,2015-10-31,1499.7205382437342
1610612764,WAS,2015-10-31,1519.4249887221547
1610612765,DET,2015-10-31,1529.71225631668
1610612766,CHA,2015-10-31,1480.3042793327827
1610612739,CLE,2015-10-31,1510.56721209952
1610612744,GSW,2015-10-31,1519.4249887221547
1610612737,ATL,2015-11-01,1510.2707319450626
1610612738,BOS,2015-11-01,1500.0
1610612740,NOP,2015-11-01,1471.409463604066
1610612741,CHI,2015-11-01,1509.71225631668
1610612742,DAL,2015-11-01,1500.0
1610612743,DEN,2015-11-01,1500.0
1610612745,HOU,2015-11-01,1480.5750112778453
1610612746,LAC,2015-11-01,1529.4249887221547
1610612747,LAL,2015-11-01,1480.0
1610612748,MIA,2015-11-01,1499.7205315838
1610612749,MIL,2015-11-01,1480.5750112778453
1610612750,MIN,2015-11-01,1520.0
1610612751,BKN,2015-11-01,1470.838437642876
1610612752,NYK,2015-11-01,1510.0
1610612753,ORL,2015-11-01,1480.5750112778453
1610612754,IND,2015-11-01,1470.5749835015706
1610612755,PHI,2015-11-01,1480.0082819270542
1610612756,PHX,2015-11-01,1510.525849522552
1610612757,POR,2015-11-01,1489.1864067941278
1610612758,SAC,2015-11-01,1490.5750112778453
1610612759,SAS,2015-11-01,1500.0082819270542
1610612760,OKC,2015-11-01,1519.4249887221547
1610612761,TOR,2015-11-01,1520.0
1610612762,UTA,2015-11-01,1509.696196327641
1610612763,MEM,2015-11-01,1509.161562357124
1610612764,WAS,2015-11-01,1508.8499774443094
1610612765,DET,2015-11-01,1529.71225631668
1610612766,CHA,2015-11-01,1480.3042793327827
1610612739,CLE,2015-11-01,1510.56721209952
1610612744,GSW,2015-11-01,1528.3032688014086
1610612737,ATL,2015-11-02,1519.410360520553
1610612738,BOS,2015-11-02,1490.000238373022
1610612740,NOP,2015-11-02,1471.409463604066
1610612741,CHI,2015-11-02,1518.8755795558989
1610612742,DAL,2015-11-02,1509.4249887221547
1610612743,DEN,2015-11-02,1490.5585142891052
1610612745,HOU,2015-11-02,1471.1255065523305
