GAME_ID,GAME_DATE_EST,SEASON,HOME_TEAM_ID,VISITOR_TEAM_ID,HOME_TEAM_WINS,home_rate,away_rate,home_over_overall,away_over_overall,win_avg5_home,Offensive_efficiency_avg5_home,Defensive_efficiency_avg5_home,win_avg5_away,Offensive_efficiency_avg5_away,Defensive_efficiency_avg5_away,elo_home,elo_away
21500048,2015-11-02,2015,1610612752,1610612759,0,0.0,0.5,0.0,0.75,,,,,,,1510.0,1510.0080435540322
21500047,2015-11-02,2015,1610612751,1610612749,0,0.0,0.0,0.0,0.0,,,,,,,1470.838437642876,1471.7049081581965
21500046,2015-11-02,2015,1610612755,1610612739,0,0.0,0.5,0.0,0.75,,,,,,,1480.0082819270542,1510.56721209952
21500053,2015-11-03,2015,1610612766,1610612741,1,0.0,0.5,0.0,0.6666666666666666,,,,,,,1471.1646507572923,1518.8755795558989
21500054,2015-11-03,2015,1610612765,1610612754,0,1.0,0.0,1.0,0.0,,,,,,,1529.71225631668,1470.5749835015706
21500055,2015-11-03,2015,1610612748,1610612737,0,1.0,1.0,1.5,1.3333333333333333,,,,,,,1509.1700363093148,1519.410360520553
21500059,2015-11-03,2015,1610612747,1610612743,0,0.0,0.5,0.0,1.5,,,,,,,1470.5750112778453,1490.5585142891052
21500057,2015-11-03,2015,1610612742,1610612761,0,0.0,1.0,0.0,1.0,,,,,,,1509.4249887221547,1528.8701031196488
21500058,2015-11-03,2015,1610612758,1610612763,0,0.5,0.5,1.5,1.0,,,,,,,1490.5750112778453,1499.7119481924383
21500056,2015-11-03,2015,1610612740,1610612753,0,0.0,0.0,0.0,0.0,,,,,,,1471.409463604066,1471.4116880386264
21500060,2015-11-04,2015,1610612754,1610612738,1,0.0,0.0,0.0,0.0,,,,,,,1482.2608416696733,1490.000238373022
21500062,2015-11-04,2015,1610612737,1610612751,1,0.5,0.0,0.625,0.0,0.8,1.010158624087634,0.9909354580595069,,,,1529.1157056161649,1460.863376617324
